slug,article_title,file_name,full_path,type,description
"ai-chatbot-cost","How Much Does an AI Customer Service Chatbot Cost? (2026 Guide)","hero-banner.jpeg","/images/blog/ai-chatbot-cost/hero-banner.jpeg","Hero","Wide title banner for ""How Much Does an AI Customer Service Chatbot Cost? (2026 Guide)"". Establishes the article subject; the only image guaranteed to be seen, and the one used as the OpenGraph preview."
"ai-chatbot-cost","How Much Does an AI Customer Service Chatbot Cost? (2026 Guide)","cost-breakdown.jpeg","/images/blog/ai-chatbot-cost/cost-breakdown.jpeg","Data figure","Chart of the article's pricing table (columns: Criterion | Rule-based | LLM-based). Restates the numbers visually so the key figures survive skim-reading."
"ai-chatbot-cost","How Much Does an AI Customer Service Chatbot Cost? (2026 Guide)","two-kinds-difference.jpeg","/images/blog/ai-chatbot-cost/two-kinds-difference.jpeg","Section","Illustrates the section ""The two kinds: the difference that decides everything""."
"ai-chatbot-cost","How Much Does an AI Customer Service Chatbot Cost? (2026 Guide)","cost-table-2026.jpeg","/images/blog/ai-chatbot-cost/cost-table-2026.jpeg","Section","Illustrates the section ""Cost table — 2026""."
"ai-chatbot-cost","How Much Does an AI Customer Service Chatbot Cost? (2026 Guide)","cost-quotes-omit.jpeg","/images/blog/ai-chatbot-cost/cost-quotes-omit.jpeg","Section","Illustrates the section ""The cost most quotes omit: operations""."
"api-security-guide","API Security: Common Mistakes and How to Avoid Them","hero-banner.jpeg","/images/blog/api-security-guide/hero-banner.jpeg","Hero","Wide title banner for ""API Security: Common Mistakes and How to Avoid Them"". Establishes the article subject; the only image guaranteed to be seen, and the one used as the OpenGraph preview."
"api-security-guide","API Security: Common Mistakes and How to Avoid Them","isnt-app-line.jpeg","/images/blog/api-security-guide/isnt-app-line.jpeg","Section","Illustrates the section ""Why isn't the app a line of defence?""."
"api-security-guide","API Security: Common Mistakes and How to Avoid Them","authentication-authorisation-decisive.jpeg","/images/blog/api-security-guide/authentication-authorisation-decisive.jpeg","Section","Illustrates the section ""1. Authentication and authorisation — the decisive difference""."
"api-security-guide","API Security: Common Mistakes and How to Avoid Them","tokens-correct-handling.jpeg","/images/blog/api-security-guide/tokens-correct-handling.jpeg","Section","Illustrates the section ""2. Tokens — correct handling""."
"api-security-guide","API Security: Common Mistakes and How to Avoid Them","common-mistakes-mobile.jpeg","/images/blog/api-security-guide/common-mistakes-mobile.jpeg","Section","Illustrates the section ""3. The most common mistakes in mobile apps""."
"app-development-abu-dhabi","App Development in Abu Dhabi: Pricing and Selection Guide (2026)","hero-banner.jpeg","/images/blog/app-development-abu-dhabi/hero-banner.jpeg","Hero","Wide title banner for ""App Development in Abu Dhabi: Pricing and Selection Guide (2026)"". Establishes the article subject; the only image guaranteed to be seen, and the one used as the OpenGraph preview."
"app-development-abu-dhabi","App Development in Abu Dhabi: Pricing and Selection Guide (2026)","cost-breakdown.jpeg","/images/blog/app-development-abu-dhabi/cost-breakdown.jpeg","Data figure","Chart of the article's pricing table (columns: App type | Abu Dhabi firm | Remote regional team). Restates the numbers visually so the key figures survive skim-reading."
"app-development-abu-dhabi","App Development in Abu Dhabi: Pricing and Selection Guide (2026)","expected-pricing-2026.jpeg","/images/blog/app-development-abu-dhabi/expected-pricing-2026.jpeg","Section","Illustrates the section ""Expected pricing — 2026""."
"app-development-abu-dhabi","App Development in Abu Dhabi: Pricing and Selection Guide (2026)","abu-dhabi-versus.jpeg","/images/blog/app-development-abu-dhabi/abu-dhabi-versus.jpeg","Section","Illustrates the section ""Abu Dhabi versus Dubai: the differences that matter""."
"app-development-abu-dhabi","App Development in Abu Dhabi: Pricing and Selection Guide (2026)","abu-dhabi-global.jpeg","/images/blog/app-development-abu-dhabi/abu-dhabi-global.jpeg","Section","Illustrates the section ""Abu Dhabi Global Market (ADGM): what you need to know""."
"app-development-company-riyadh","App Development Company in Riyadh: How to Choose","hero-banner.jpeg","/images/blog/app-development-company-riyadh/hero-banner.jpeg","Hero","Wide title banner for ""App Development Company in Riyadh: How to Choose"". Establishes the article subject; the only image guaranteed to be seen, and the one used as the OpenGraph preview."
"app-development-company-riyadh","App Development Company in Riyadh: How to Choose","cost-breakdown.jpeg","/images/blog/app-development-company-riyadh/cost-breakdown.jpeg","Data figure","Chart of the article's pricing table (columns: Type | Hourly rate | Best for | Primary risk). Restates the numbers visually so the key figures survive skim-reading."
"app-development-company-riyadh","App Development Company in Riyadh: How to Choose","types-provider-riyadh.jpeg","/images/blog/app-development-company-riyadh/types-provider-riyadh.jpeg","Section","Illustrates the section ""Types of provider in Riyadh""."
"app-development-company-riyadh","App Development Company in Riyadh: How to Choose","seven-criteria-evaluating.jpeg","/images/blog/app-development-company-riyadh/seven-criteria-evaluating.jpeg","Section","Illustrates the section ""Seven criteria for evaluating any firm""."
"app-development-company-riyadh","App Development Company in Riyadh: How to Choose","expected-pricing-riyadh.jpeg","/images/blog/app-development-company-riyadh/expected-pricing-riyadh.jpeg","Section","Illustrates the section ""Expected pricing in Riyadh — 2026""."
"app-development-contract","App Development Contracts: Clauses That Protect You","hero-banner.jpeg","/images/blog/app-development-contract/hero-banner.jpeg","Hero","Wide title banner for ""App Development Contracts: Clauses That Protect You"". Establishes the article subject; the only image guaranteed to be seen, and the one used as the OpenGraph preview."
"app-development-contract","App Development Contracts: Clauses That Protect You","cost-breakdown.jpeg","/images/blog/app-development-contract/cost-breakdown.jpeg","Data figure","Chart of the article's pricing table (columns: Milestone | Instalment). Restates the numbers visually so the key figures survive skim-reading."
